SMILES,Value,CASRN,MW,-log_value
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,12500.0,133-06-2,300.6,-1.618921036757167
CC(C(=O)C1C=CC=CC=1)N(CC)CC,400.0,134-80-5,205.33,-0.28960758417552174
OCCN(CCO)N=O,7500.0,1116-54-7,134.16,-1.7474382137936708
CC1NC(=N)CC1C1C=CC=CC=1,420.0,50901-84-3,174.27,-0.3820266592020093
CCCCCCCCCCCCCCCC[N+](C)(C)C,699.0,112-02-7,284.62,-0.3902117614294047
COC1=NC=CC(=C1S(=O)(=O)Cl)C(F)(F)F,3129.0,219715-41-0,275.65,-1.0550475663309056
CCCCC(CN1C=NC=C1)(C#N)C1C=CC=CC=1,1590.0,61019-78-1,253.38,-0.7976247925119002
NC1CCCCC1,720.0,4998-76-9,99.2,-0.8608208242770898
CCC1C=CC(CCO)=NC=1,4290.0,6/3/5223,151.23,-1.4528193400269114
O=C1C(CCC2CC2)C(=O)N(C2C=CC=CC=2)N1C1C=CC=CC=1,400.0,78945-53-6,320.42,-0.09634037524362071
ClC1C=CC(=CC=1)N=NC1C=CC(NCCCN2CCCCC2)=C2CCCCC2=1,1122.0,3365-99-9,411.04,-0.4361087699978716
CC(C)(C)C1=CC=C(CCC=O)C=C1,2700.0,18127-01-0,190.31,-1.1519021549013142
N#CSCSC#N,55.0,6317-18-6,130.21,0.37428164940803543
CCC1C(=O)N2C(C=CC=C2C)=NC=1C,690.0,70381-39-4,202.28,-0.5328961457767485
CC1OC(C(O)C1O)N1C=C(F)C(=O)NC1=O,3390.0,9/5/3094,246.22,-1.1388763712289909
CCC(COCCC#N)CC,2460.0,10232-91-4,155.27,-1.1998475540988287
O=S(=O)(C1C=CC=CC=1)N1C(=O)NC(=O)C1(C1C=CC=CC=1)C1C=CC=CC=1,1700.0,21413-28-5,392.46,-0.6366535218626649
OC(=O)C1=CC=CC=C1C(=O)NC1=CC=CC2=CC=CC=C21,1770.0,132-67-2,291.32,-0.7836029650795738
CC1(C)OC2C3OC(C)(C)OCC3OC2(O1)C(O)=O,31000.0,52508-35-7,274.3,-2.053135886229743
CN(C)CCCN1C2N=CC=CC=2SC2=CC=CC=C12,610.0,1225-65-6,285.45,-0.3297997876680654
CCSC(=COP(=O)(OCC)OCC)SCC,15.0,2667-40-5,300.42,1.3016375827268716
CC1(C)C(C1C=C(Cl)Cl)C(=O)OC(C#N)C1C=CC=C(C=1)OC1C=CC=CC=1,5000.0,71697-59-1,416.32,-1.0795427294545266
NC(=O)C1=CC=CC=C1O,1020.0,65-45-2,137.15,-0.8714043598213692
CCN(C=C)N=O,88.0,13256-13-8,100.14,0.056124914912721695
CCC(=O)OC1(CCN(C)C1C)C1C=CC=CC=1,253.0,3734-17-6,247.37,-0.009773492109338778
COC(=O)NC1NC2C=CC=CC=2N=1,7500.0,52316-55-9,191.21,-1.5935506618990443
[O-][N+](=O)C1C=CC(=CC=1)C(O)C(COC(=O)CCC(O)=O)NC(=O)C(Cl)Cl,8300.0,3544-94-3,423.23,-1.2925016479692615
CCN(CC)C(=S)SCC(=C)Cl,850.0,95-06-7,223.82,-0.579520034310381
CC=C(C)C(=O)N1CCCC2C=C(C)C=CC1=2,2200.0,81719-55-3,229.35,-0.9819239363542049
CCOP(=S)(OCC)SC(C(=O)OCCF)C1C=CC=CC=1,5.0,4681-36-1,366.45,1.8650447216930992
COP(=S)(OC)SCC(N)=O,925.0,3692-87-3,215.26,-0.633178396799446
[O-][N+](=O)C1C=C(C(F)=CC=1F)[N+]([O-])=O,50.0,327-92-4,204.1,0.6108730003800517
CC(C)(CC(=C)C1C=CC=CC=1)C1C=CC=CC=1,300.0,6362-80-7,236.38,-0.10351052640673152
CCCCN(CCCC)S(=O)(=O)C1C=CC(Cl)=CC=1,500.0,127-59-3,303.89,-0.21625359519478649
COC(=O)C1C(=O)C(C(CCC)=NOCC=C)C(=O)CC1(C)C,2260.0,55634-91-8,323.43,-0.8443281383878145
